,file_name,hh_score,best_hh,id
0,1000_ep0.0075_0_gilbert_1.in,0.994,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",0
1,1000_ep0.0075_0_gilbert_10.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",1
2,1000_ep0.0075_0_gilbert_2.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",2
3,1000_ep0.0075_0_gilbert_3.in,0.994,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",3
4,1000_ep0.0075_0_gilbert_4.in,0.001,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",4
5,1000_ep0.0075_0_gilbert_5.in,0.994,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",5
6,1000_ep0.0075_0_gilbert_6.in,0.994,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",6
7,1000_ep0.0075_0_gilbert_7.in,0.993,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",7
8,1000_ep0.0075_0_gilbert_8.in,0.994,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",8
9,1000_ep0.0075_0_gilbert_9.in,0.994,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",9
10,1000_ep0.0125_0_gilbert_1.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",10
11,1000_ep0.0125_0_gilbert_10.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",11
12,1000_ep0.0125_0_gilbert_2.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",12
13,1000_ep0.0125_0_gilbert_3.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",13
14,1000_ep0.0125_0_gilbert_4.in,0.995,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",14
15,1000_ep0.0125_0_gilbert_5.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",15
16,1000_ep0.0125_0_gilbert_6.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",16
17,1000_ep0.0125_0_gilbert_7.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",17
18,1000_ep0.0125_0_gilbert_8.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",18
19,1000_ep0.0125_0_gilbert_9.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",19
20,1000_ep0.01_0_gilbert_1.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",20
21,1000_ep0.01_0_gilbert_10.in,0.995,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",21
22,1000_ep0.01_0_gilbert_2.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",22
23,1000_ep0.01_0_gilbert_3.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",23
24,1000_ep0.01_0_gilbert_4.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",24
25,1000_ep0.01_0_gilbert_5.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",25
26,1000_ep0.01_0_gilbert_6.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",26
27,1000_ep0.01_0_gilbert_7.in,0.996,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",27
28,1000_ep0.01_0_gilbert_8.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",28
29,1000_ep0.01_0_gilbert_9.in,0.995,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",29
30,100_ep0.05_0_gilbert_1.in,0.93,"['GDEG', 'GDEG', 'GDEG', 'LDEG', 'LDEG', 'GDEG']",30
31,100_ep0.05_0_gilbert_10.in,0.94,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",31
32,100_ep0.05_0_gilbert_2.in,0.95,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",32
33,100_ep0.05_0_gilbert_3.in,0.95,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",33
34,100_ep0.05_0_gilbert_4.in,0.95,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",34
35,100_ep0.05_0_gilbert_5.in,0.95,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",35
36,100_ep0.05_0_gilbert_6.in,0.95,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",36
37,100_ep0.05_0_gilbert_7.in,0.92,"['LDEG', 'GDEG', 'LDEG', 'GDEG', 'LDEG', 'LDEG']",37
38,100_ep0.05_0_gilbert_8.in,0.94,"['LDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",38
39,100_ep0.05_0_gilbert_9.in,0.91,"['LDEG', 'GDEG', 'GDEG', 'GDEG', 'GDEG', 'LDEG']",39
40,100_ep0.075_0_gilbert_1.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",40
41,100_ep0.075_0_gilbert_10.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",41
42,100_ep0.075_0_gilbert_2.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",42
43,100_ep0.075_0_gilbert_3.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",43
44,100_ep0.075_0_gilbert_4.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",44
45,100_ep0.075_0_gilbert_5.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",45
46,100_ep0.075_0_gilbert_6.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",46
47,100_ep0.075_0_gilbert_7.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",47
48,100_ep0.075_0_gilbert_8.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",48
49,100_ep0.075_0_gilbert_9.in,0.96,"['GDEG', 'LDEG', 'LDEG', 'GDEG', 'GDEG', 'LDEG']",49
